,crime_type,crime_nb,precinct,zipcode
0,Burglary ,124,100,11693
1,Burglary ,147,101,11691
2,Burglary ,286,102,11418
3,Burglary ,215,103,11432
4,Burglary ,284,104,11385
5,Burglary ,306,105,11428
6,Burglary ,244,106,11417
7,Burglary ,153,107,11365
8,Burglary ,210,108,11105
9,Burglary ,445,109,11354
10,Burglary ,67,10,10011
11,Burglary ,323,110,11368
12,Burglary ,205,111,11361
13,Burglary ,106,112,11375
14,Burglary ,317,113,11434
15,Burglary ,415,114,11103
16,Burglary ,315,115,11372
17,Burglary ,192,120,10301
18,Burglary ,130,121,None
19,Burglary ,180,122,10306
20,Burglary ,89,123,10307
21,Burglary ,234,13,10010
22,Burglary ,114,17,10017
23,Burglary ,208,19,10021
24,Burglary ,109,1,10013
25,Burglary ,81,20,10020
26,Burglary ,100,23,10029
27,Burglary ,140,24,10025
28,Burglary ,103,25,10035
29,Burglary ,53,26,10027
30,Burglary ,75,28,10027
31,Burglary ,99,30,10028
32,Burglary ,90,32,10030
33,Burglary ,104,33,10031
34,Burglary ,156,34,10033
35,Burglary ,134,40,10454
36,Burglary ,194,41,10459
37,Burglary ,147,42,10452
38,Burglary ,304,43,10472
39,Burglary ,253,44,10452
40,Burglary ,155,45,10465
41,Burglary ,194,46,10457
42,Burglary ,367,47,10466
43,Burglary ,255,48,10457
44,Burglary ,183,49,10461
45,Burglary ,170,50,10463
46,Burglary ,363,52,10467
47,Burglary ,91,5,10013
48,Burglary ,176,60,11224
49,Burglary ,329,61,11223
50,Burglary ,276,62,11214
51,Burglary ,171,63,11210
52,Burglary ,258,66,11218
53,Burglary ,342,67,11226
54,Burglary ,157,68,11220
55,Burglary ,216,69,11236
56,Burglary ,149,6,10011
57,Burglary ,262,70,11230
58,Burglary ,176,71,11225
59,Burglary ,181,72,11232
60,Burglary ,258,73,11212
61,Burglary ,494,75,11208
62,Burglary ,94,76,11231
63,Burglary ,281,77,11213
64,Burglary ,113,78,11217
65,Burglary ,363,79,11211
66,Burglary ,50,7,10002
67,Burglary ,306,81,11221
68,Burglary ,486,83,11237
69,Burglary ,109,84,11201
70,Burglary ,178,88,11205
71,Burglary ,319,90,11211
72,Burglary ,222,94,11222
73,Burglary ,128,9,10003
74,Burglary ,2,CPP,10024
75,Burglary ,206,MNP,10019
76,Burglary ,261,MSP,10001
77,Fel. Assault ,127,100,11693
78,Fel. Assault ,263,101,11691
79,Fel. Assault ,232,102,11418
80,Fel. Assault ,373,103,11432
81,Fel. Assault ,188,104,11385
82,Fel. Assault ,267,105,11428
83,Fel. Assault ,223,106,11417
84,Fel. Assault ,98,107,11365
85,Fel. Assault ,123,108,11105
86,Fel. Assault ,252,109,11354
87,Fel. Assault ,94,10,10011
88,Fel. Assault ,277,110,11368
89,Fel. Assault ,64,111,11361
90,Fel. Assault ,54,112,11375
91,Fel. Assault ,445,113,11434
92,Fel. Assault ,260,114,11103
93,Fel. Assault ,324,115,11372
94,Fel. Assault ,242,120,10301
95,Fel. Assault ,214,121,None
96,Fel. Assault ,104,122,10306
97,Fel. Assault ,42,123,10307
98,Fel. Assault ,166,13,10010
99,Fel. Assault ,44,17,10017
100,Fel. Assault ,88,19,10021
101,Fel. Assault ,54,1,10013
102,Fel. Assault ,37,20,10020
103,Fel. Assault ,234,23,10029
104,Fel. Assault ,112,24,10025
105,Fel. Assault ,316,25,10035
106,Fel. Assault ,83,26,10027
107,Fel. Assault ,197,28,10027
108,Fel. Assault ,174,30,10028
109,Fel. Assault ,270,32,10030
110,Fel. Assault ,165,33,10031
111,Fel. Assault ,180,34,10033
112,Fel. Assault ,430,40,10454
113,Fel. Assault ,589,41,10459
114,Fel. Assault ,392,42,10452
115,Fel. Assault ,615,43,10472
116,Fel. Assault ,639,44,10452
117,Fel. Assault ,147,45,10465
118,Fel. Assault ,495,46,10457
119,Fel. Assault ,522,47,10466
120,Fel. Assault ,458,48,10457
121,Fel. Assault ,167,49,10461
122,Fel. Assault ,127,50,10463
123,Fel. Assault ,521,52,10467
124,Fel. Assault ,127,5,10013
125,Fel. Assault ,284,60,11224
126,Fel. Assault ,174,61,11223
127,Fel. Assault ,157,62,11214
128,Fel. Assault ,142,63,11210
129,Fel. Assault ,104,66,11218
130,Fel. Assault ,556,67,11226
131,Fel. Assault ,95,68,11220
132,Fel. Assault ,244,69,11236
133,Fel. Assault ,116,6,10011
134,Fel. Assault ,268,70,11230
135,Fel. Assault ,373,71,11225
136,Fel. Assault ,228,72,11232
137,Fel. Assault ,575,73,11212
138,Fel. Assault ,868,75,11208
139,Fel. Assault ,94,76,11231
140,Fel. Assault ,353,77,11213
141,Fel. Assault ,68,78,11217
142,Fel. Assault ,363,79,11211
143,Fel. Assault ,140,7,10002
144,Fel. Assault ,313,81,11221
145,Fel. Assault ,282,83,11237
146,Fel. Assault ,118,84,11201
147,Fel. Assault ,154,88,11205
148,Fel. Assault ,226,90,11211
149,Fel. Assault ,76,94,11222
150,Fel. Assault ,135,9,10003
151,Fel. Assault ,8,CPP,10024
152,Fel. Assault ,163,MNP,10019
153,Fel. Assault ,157,MSP,10001
154,G.L.A. ,33,100,11693
155,G.L.A. ,73,101,11691
156,G.L.A. ,265,102,11418
157,G.L.A. ,134,103,11432
158,G.L.A. ,232,104,11385
159,G.L.A. ,237,105,11428
160,G.L.A. ,240,106,11417
161,G.L.A. ,146,107,11365
162,G.L.A. ,155,108,11105
163,G.L.A. ,227,109,11354
164,G.L.A. ,39,10,10011
165,G.L.A. ,118,110,11368
166,G.L.A. ,100,111,11361
167,G.L.A. ,105,112,11375
168,G.L.A. ,244,113,11434
169,G.L.A. ,198,114,11103
170,G.L.A. ,163,115,11372
171,G.L.A. ,76,120,10301
172,G.L.A. ,67,121,None
173,G.L.A. ,61,122,10306
174,G.L.A. ,34,123,10307
175,G.L.A. ,53,13,10010
176,G.L.A. ,33,17,10017
177,G.L.A. ,93,19,10021
178,G.L.A. ,30,1,10013
179,G.L.A. ,34,20,10020
180,G.L.A. ,26,23,10029
181,G.L.A. ,44,24,10025
182,G.L.A. ,32,25,10035
183,G.L.A. ,22,26,10027
184,G.L.A. ,24,28,10027
185,G.L.A. ,25,30,10028
